Datetime,CH4_ppm
2/22/17 6:15,2.7925
2/22/17 6:16,2.73937
2/22/17 6:17,2.72705
2/22/17 6:18,2.81677
2/22/17 6:19,2.76543
2/22/17 6:20,2.66005
2/22/17 6:21,2.66696
2/22/17 6:22,2.6751
2/22/17 6:23,2.67212
2/22/17 6:24,2.67058
2/22/17 6:25,2.68231
2/22/17 6:26,2.67476
2/22/17 6:27,2.66879
2/22/17 6:28,2.64881
2/22/17 6:29,2.6102
2/22/17 6:30,2.63581
2/22/17 6:31,2.64632
2/22/17 6:32,2.65478
2/22/17 6:33,2.65858
2/22/17 6:34,2.67375
2/22/17 6:35,2.67922
2/22/17 6:36,2.6948
2/22/17 6:37,2.70253
2/22/17 6:38,2.70047
2/22/17 6:39,2.70107
2/22/17 6:40,2.70181
2/22/17 6:41,2.70322
2/22/17 6:42,2.74099
2/22/17 6:43,2.75309
2/22/17 6:44,2.80089
2/22/17 6:45,2.82971
2/22/17 6:46,2.83144
2/22/17 6:47,2.81376
2/22/17 6:48,2.75073
2/22/17 6:49,2.72586
2/22/17 6:50,2.7591
2/22/17 6:51,2.75816
2/22/17 6:52,2.7797
2/22/17 6:53,2.79669
2/22/17 6:54,2.82557
2/22/17 6:55,2.86313
2/22/17 6:56,2.8778
2/22/17 6:57,2.89301
2/22/17 6:58,2.88499
2/22/17 6:59,2.85777
2/22/17 7:00,2.85848
2/22/17 7:01,2.83624
2/22/17 7:02,2.80955
2/22/17 7:03,2.81223
2/22/17 7:04,2.7761
2/22/17 7:05,2.75158
2/22/17 7:06,2.75107
2/22/17 7:07,2.76521
2/22/17 7:08,2.79988
2/22/17 7:09,2.79645
2/22/17 7:10,2.78513
2/22/17 7:11,2.7757
2/22/17 7:12,2.74238
2/22/17 7:13,2.72753
2/22/17 7:14,2.73485
2/22/17 7:15,2.7325
2/22/17 7:16,2.73877
2/22/17 7:17,2.78043
2/22/17 7:18,2.79675
2/22/17 7:19,2.81168
2/22/17 7:20,2.8331
2/22/17 7:21,2.83171
2/22/17 7:22,2.84285
2/22/17 7:23,2.81219
2/22/17 7:24,2.80277
2/22/17 7:25,2.75579
2/22/17 7:26,2.75995
2/22/17 7:27,2.80138
2/22/17 7:28,2.85513
2/22/17 7:29,2.86534
2/22/17 7:30,2.85344
2/22/17 7:31,2.80272
2/22/17 7:32,2.78856
2/22/17 7:33,2.77776
2/22/17 7:34,2.74097
2/22/17 7:35,2.73951
2/22/17 7:36,2.73324
2/22/17 7:37,2.70726
2/22/17 7:38,2.62297
2/22/17 7:39,2.56487
2/22/17 7:40,2.59421
2/22/17 7:41,2.51724
2/22/17 7:42,2.4641
2/22/17 7:43,2.44268
2/22/17 7:44,2.44317
2/22/17 7:45,2.43753
2/22/17 7:46,2.41721
2/22/17 7:47,2.40039
2/22/17 7:48,2.38529
2/22/17 7:49,2.38402
2/22/17 7:50,2.40213
2/22/17 7:51,2.4082
2/22/17 7:52,2.39549
2/22/17 7:53,2.38293
2/22/17 7:54,2.37197
2/22/17 7:55,2.35668
2/22/17 7:56,2.34446
2/22/17 7:57,2.33971
2/22/17 7:58,2.33463
2/22/17 7:59,2.34732
2/22/17 8:00,2.3874
2/22/17 8:01,2.3645
2/22/17 8:02,2.33964
2/22/17 8:03,2.30565
2/22/17 8:04,2.29183
2/22/17 8:05,2.29105
2/22/17 8:06,2.31627
2/22/17 8:07,2.33099
2/22/17 8:08,2.33049
2/22/17 8:09,2.31854
2/22/17 8:10,2.31961
2/22/17 8:11,2.25813
2/22/17 8:12,2.2259
2/22/17 8:13,2.21382
2/22/17 8:14,2.22771
2/22/17 8:15,2.2383
2/22/17 8:16,2.26407
2/22/17 8:17,2.26313
2/22/17 8:18,2.25918
2/22/17 8:19,2.26786
2/22/17 8:20,2.25599
2/22/17 8:21,2.25259
2/22/17 8:22,2.24898
2/22/17 8:23,2.22263
2/22/17 8:24,2.20656
2/22/17 8:25,2.22157
2/22/17 8:26,2.22116
2/22/17 8:27,2.21783
2/22/17 8:28,2.22857
2/22/17 8:29,2.28382
2/22/17 8:30,2.16833
2/22/17 8:31,2.16413
2/22/17 8:32,2.16888
2/22/17 8:33,2.17374
2/22/17 8:34,2.19001
2/22/17 8:35,2.17514
2/22/17 8:36,2.16701
2/22/17 8:37,2.16754
2/22/17 8:38,2.16061
2/22/17 8:39,2.21429
2/22/17 8:40,2.20509
2/22/17 8:41,2.20889
2/22/17 8:42,2.2231
2/22/17 8:43,2.20909
2/22/17 8:44,2.17414
2/22/17 8:45,2.17974
2/22/17 8:46,2.15861
2/22/17 8:47,2.15167
2/22/17 8:48,2.16214
2/22/17 8:49,2.15787
2/22/17 8:50,2.18128
2/22/17 8:51,2.18475
2/22/17 8:52,2.13487
2/22/17 8:53,2.12601
2/22/17 8:54,2.11954
2/22/17 8:55,2.10755
2/22/17 8:56,2.13028
